Age,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,TravelInsurance,mean_income_per_member,Employment Type_Government Sector,Employment Type_Private Sector/Self Employed,GraduateOrNot_No,GraduateOrNot_Yes
0.17358298388669038,0.7483477552842636,-0.10893598035898738,1,0,0,0,0.6773296777178655,True,False,False,True
0.17358298388669038,0.785109785124848,-0.07309290552682068,0,0,0,0,0.715486896571242,False,True,False,True
0.18511102251037825,0.7557963711367309,-0.2203602319903436,1,0,0,1,0.6989700043360189,False,True,False,True
0.160515959171838,0.7667917999940287,-0.3213712361305426,1,0,0,0,0.7195830093968327,False,True,False,True
0.160515959171838,0.7667917999940287,-0.044268972934662386,1,1,0,0,0.6893848345242544,False,True,False,True
0.14548853445563695,0.7825226325435513,-0.2203602319903436,0,0,0,0,0.7293047652015774,False,True,True,False
0.17358298388669038,0.7863214105277009,-0.2203602319903436,0,0,0,0,0.7335963234068257,True,False,False,True
0.17358298388669038,0.7874841205003903,-0.3213712361305426,0,1,1,1,0.7425895425008606,False,True,False,True
0.160515959171838,0.7896771488302591,-0.10893598035898738,1,1,1,1,0.7256070264704508,False,True,False,True
0.18141878307302428,0.77107940367794,-0.3213712361305426,0,1,0,0,0.7243602616711524,True,False,False,True
0.17358298388669038,0.7483477552842636,-0.02034124046656138,1,0,0,0,0.6629522757261229,True,False,False,True
0.15074825969195946,0.7886016032046679,-0.15554146120834425,0,1,1,1,0.729810628986521,False,True,False,True
0.17757977668169403,0.7730121352325968,-0.10893598035898738,0,0,0,1,0.7062329522854108,True,False,False,True
0.17358298388669038,0.7907137045899029,-0.10893598035898738,0,1,1,1,0.7268081301080133,True,False,False,True
0.17358298388669038,0.7483477552842636,-0.3213712361305426,0,0,0,0,0.6989700043360189,True,False,False,True
0.18511102251037825,0.7667917999940287,-0.07309290552682068,0,0,0,0,0.6939034487512697,False,True,False,True
0.160515959171838,0.7825226325435513,-0.2203602319903436,1,0,0,0,0.7293047652015774,False,True,False,True
0.160515959171838,0.77107940367794,-0.07309290552682068,0,0,0,1,0.6989700043360189,False,True,False,True
0.1650655838177986,0.7796822811266254,-0.15554146120834425,1,0,0,1,0.7195830093968327,False,True,False,True
0.18511102251037825,0.7907137045899029,-0.5213902276543247,0,1,1,1,0.7557963711367309,False,True,False,True
0.160515959171838,0.7825226325435513,-0.10893598035898738,0,1,0,0,0.7173042600298016,False,True,False,True
0.1650655838177986,0.7438285518895551,-0.3213712361305426,0,0,0,1,0.6939034487512697,False,True,False,True
0.17358298388669038,0.7811370654024867,-0.2203602319903436,0,0,0,0,0.7277382454762098,False,True,False,True
0.160515959171838,0.7617889058618078,-0.02034124046656138,0,0,0,1,0.6792598930420175,True,False,False,True
0.17358298388669038,0.7907137045899029,-0.07309290552682068,0,1,1,0,0.7220578761010821,True,False,False,True
0.18866643501183092,0.77107940367794,-0.2203602319903436,0,0,1,0,0.7163473008035968,False,True,True,False
0.18511102251037825,0.7863214105277009,-0.10893598035898738,0,1,0,1,0.7217154483348098,False,True,True,False
0.160515959171838,0.785109785124848,-0.5213902276543247,0,1,0,0,0.7497199912213919,False,True,False,True
0.15074825969195946,0.7617889058618078,-0.2203602319903436,0,1,0,0,0.7057937105159202,False,True,False,True
0.17358298388669038,0.7748265189849565,-0.3213712361305426,0,0,0,0,0.7285309151590635,False,True,False,True
0.16941614737301472,0.7589393330024748,-0.10893598035898738,0,1,1,0,0.6897761757513918,False,True,True,False
0.17358298388669038,0.7385523556216358,-0.2203602319903436,0,0,0,0,0.6792598930420175,True,False,True,False
0.14548853445563695,0.7690123996610907,-0.2203602319903436,0,0,0,1,0.7140019247230317,True,False,False,True
0.17757977668169403,0.7730121352325968,-0.3213712361305426,0,0,0,0,0.7265119586530223,True,False,False,True
0.160515959171838,0.77107940367794,-0.02034124046656138,0,0,0,1,0.6904698639774477,False,True,False,True
0.18141878307302428,0.7886016032046679,-0.2203602319903436,0,1,1,0,0.7361699750793219,False,True,False,True
0.17358298388669038,0.7385523556216358,-0.02034124046656138,1,0,0,0,0.6509988566221192,True,False,True,False
0.18511102251037825,0.7667917999940287,-0.2203602319903436,0,0,0,0,0.7114805872565297,False,True,False,True
0.18511102251037825,0.7811370654024867,-0.5213902276543247,0,0,0,0,0.7454083071335377,True,False,False,True
0.18141878307302428,0.7907137045899029,-0.15554146120834425,1,1,1,1,0.7322280536092578,False,True,False,True
0.14548853445563695,0.7886016032046679,-0.3213712361305426,1,1,1,1,0.7438285518895551,False,True,False,True
0.18141878307302428,0.7589393330024748,-0.15554146120834425,0,0,0,0,0.6956752655554165,False,True,False,True
0.15074825969195946,0.7907137045899029,-0.5213902276543247,1,1,1,1,0.7557963711367309,False,True,False,True
0.160515959171838,0.783845091728731,-0.2203602319903436,0,1,0,1,0.7307993275824992,False,True,False,True
0.14548853445563695,0.7886016032046679,-0.07309290552682068,0,0,1,1,0.7195830093968327,False,True,False,True
0.18511102251037825,0.7886016032046679,-0.15554146120834425,1,0,1,1,0.729810628986521,False,True,True,False
0.14548853445563695,0.7886016032046679,-0.2203602319903436,0,0,1,1,0.7361699750793219,False,True,False,True
0.18866643501183092,0.7811370654024867,-0.15554146120834425,0,0,0,0,0.7212532923781712,True,False,False,True
0.160515959171838,0.7617889058618078,-0.3213712361305426,0,0,0,0,0.7140019247230317,False,True,False,True
0.17358298388669038,0.7874841205003903,-0.3213712361305426,0,0,1,1,0.7425895425008606,False,True,False,True
0.17358298388669038,0.785109785124848,-0.3213712361305426,1,0,0,0,0.7399558431388292,False,True,False,True
0.1650655838177986,0.7796822811266254,-0.3213712361305426,0,0,0,0,0.7339295139887341,False,True,False,True
0.17358298388669038,0.785109785124848,-0.2203602319903436,0,0,1,0,0.7322280536092578,False,True,False,True
0.160515959171838,0.7385523556216358,-0.5213902276543247,0,0,0,0,0.6989700043360189,True,False,False,True
0.1650655838177986,0.783845091728731,-0.07309290552682068,0,0,0,0,0.7140019247230317,False,True,False,True
0.15074825969195946,0.7690123996610907,-0.15554146120834425,0,0,0,0,0.7073069660982171,False,True,False,True
